EXPEDITION,SITE,HOLE,CORE,CORE_TYPE,SECTION,CC,TOP_DEPTH,BOTTOM_DEPTH,MBSF_TOP,MCD_TOP,AGE (MA),SPLITS,SIZE.MEAN.AREA,SIZE.MEAN.DIAMETERMEAN,SIZE.MEAN.DIAMETERMIN,SIZE.MEAN.DIAMETERMAX,SIZE.MEAN.SPHERICITY,SIZE.MEAN.SHAPEFACTOR,SIZE.MEDIAN.AREA,SIZE.MEDIAN.DIAMETERMEAN,SIZE.MEDIAN.DIAMETERMIN,SIZE.MEDIAN.DIAMETERMAX,SIZE.MEDIAN.SPHERICITY,SIZE.MEDIAN.SHAPEFACTOR,SIZE.SD.AREA,SIZE.SD.DIAMETERMEAN,SIZE.SD.DIAMETERMIN,SIZE.SD.DIAMETERMAX,SIZE.SD.SPHERICITY,SIZE.SD.SHAPEFACTOR,SIZE.95.AREA,SIZE.95.DIAMETERMEAN,SIZE.95.DIAMETERMIN,SIZE.95.DIAMETERMAX,SIZE.95.SPHERICITY,SIZE.95.SHAPEFACTOR,SIZE.9.AREA,SIZE.9.DIAMETERMEAN,SIZE.9.DIAMETERMIN,SIZE.9.DIAMETERMAX,SIZE.9.SPHERICITY,SIZE.9.SHAPEFACTOR,SIZE.SKEWNESS.AREA,SIZE.SKEWNESS.DIAMETERMEAN,SIZE.SKEWNESS.DIAMETERMIN,SIZE.SKEWNESS.DIAMETERMAX,SIZE.SKEWNESS.SPHERICITY,SIZE.SKEWNESS.SHAPEFACTOR,SIZE.KURTOSIS.AREA,SIZE.KURTOSIS.DIAMETERMEAN,SIZE.KURTOSIS.DIAMETERMIN,SIZE.KURTOSIS.DIAMETERMAX,SIZE.KURTOSIS.SPHERICITY,SIZE.KURTOSIS.SHAPEFACTOR,NUMBER.OF.TESTS,MASS.OF.PETRI.DISH,PD.W.SAMPLE,DRY.BULK.MASS,WASH.DATE,WASHER,DRY.WASHED.WEIGHT.W..PD,BULK.WASHED.WEIGHT,X.SAND,NOTES,FRAGMENTS,WHOLE.TESTS,SPLITS,FRAGMENTATION.INDEX,FILE_NAME
154,925.0,C,1,H,1,no,43.0,44.0,0.43,0.43,0.010530612244898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,398.0,8.0,,"925C,1H-1,43-44"
154,925.0,C,1,H,1,no,62.0,63.0,0.62,0.62,0.0151836734693878,5.0,53337.1614315408,244.228404618789,204.210149334351,277.350130781449,0.674349242363266,0.751870000679812,37641.3266814145,218.94393531044,182.183192905315,247.563285976061,0.663017310151791,0.756573652045507,50558.9266541793,89.3473116170952,76.8596692568701,103.067415607321,0.119728498423108,0.0535652105168227,149485.118931335,436.136194398313,357.904344247021,498.252046582925,0.897948863148937,0.832619264295303,98860.665523946,352.400626283332,292.874682389873,405.570011386784,0.852661702010636,0.819416560240448,5.0156974830926,2.20895453319456,2.2437200926273,2.11076885497576,0.390661752992914,-0.0752479889908655,51.5908881667837,10.7615691695037,10.35902367292,10.0812059358644,2.56214412335012,2.12994880503108,1127.0,46.89,53.5,6.61,11/07/2019,Fraass,,0.6799999999999999,,reweighed,,,,,"925C,1H-1,62-63"
154,925.0,C,1,H,1,no,68.0,70.0,0.68,0.68,0.0166530612244898,4.0,54735.0159073653,248.467220505387,208.244656937557,281.883294209152,0.682177541063531,0.7635465069986,38415.3742957042,220.231785777196,184.144498640365,250.454171919593,0.671665873794917,0.767907183913576,46333.149104315,87.4305677349478,74.9053045058849,102.071390437955,0.122168238241953,0.056491295572075,142179.066140502,423.271698909899,352.782480223723,488.045770016904,0.905234733628131,0.850084408025975,101752.472622276,361.402089995324,300.019879822505,414.502342988213,0.865386853925692,0.832271636857184,3.02710146336284,1.83294491750979,1.95517697103037,1.80093866691224,0.290712651760536,-0.125442181930066,14.9245965211699,7.08652348681904,8.11018091649576,6.98507205411281,2.45304552909134,2.21701535891624,1126.0,47.1,57.94,10.84,15/06/2019,Fraass,,1.05,,reweighed,,,,,"925C,1H-1,68-70"
154,925.0,C,1,H,1,no,88.0,89.0,0.88,0.88,0.0215510204081633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,150.0,9.0,,"925C,1H-1,88-89"
154,925.0,C,1,H,1,no,103.0,104.0,1.03,1.03,0.0251052631578947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"925C,1H-1,103-104"
154,925.0,C,1,H,1,no,108.0,109.0,1.08,1.08,0.0262105263157895,4.0,57037.6719478155,250.867940039274,208.795422641317,285.755077585879,0.665860184437938,0.767609557069176,39445.9882540562,223.562537534852,185.937125182887,254.396520629325,0.656733906743826,0.776216044361146,56467.7683534209,95.389267014039,82.4908270795984,111.632384017751,0.116150200578912,0.0519170031127426,156852.051871605,443.649139924005,374.838576276964,510.092334522724,0.889905386131192,0.842787616195004,104289.435421021,364.215531277543,304.429737146281,419.309218701486,0.833367177607296,0.829244179345062,4.92108270177006,2.28328783292993,2.51098324701221,2.24347804924288,0.445544653844282,-0.354794853282963,47.3461191805682,11.0194241891695,13.5386501758035,10.4468590830976,2.76414347084191,2.39710310277818,1360.0,47.11,53.21,6.1,12/07/2019,Fraass,,0.72,,reweighed,,,,,"925C,1H-1,108-109"
154,925.0,C,1,H,1,no,133.0,135.0,1.33,1.33,0.0317368421052632,5.0,66447.693700564,270.797735387426,225.031000980326,308.505486465718,0.664260037627724,0.768651862183903,44790.3956583375,237.122223481564,194.640302299314,271.203021323132,0.656128169621681,0.774073674239723,58404.3846644217,102.168004221372,88.2861118646488,119.8346270562,0.112156668543962,0.0469570750681685,196582.872253392,497.612879067534,431.380979968151,557.855428360043,0.878722787170465,0.836095453498802,137709.158597084,414.846662600787,350.120700257152,478.024759828707,0.824414303903799,0.825081549919864,2.5840505494031,1.62929302141579,1.64329186880094,1.70217380615083,0.465004955445714,-0.44364144665562,11.1537895636113,5.65888113746421,5.64545654103255,6.25985370411868,2.8886018645181,2.67726590336241,1139.0,46.78,59.12,12.34,15/06/2019,Fraass,48.6,1.82,0.1285,,69.0,439.0,8.0,0.864173228346457,"925C,1H-1,133-135"
154,925.0,C,1,H,1,no,138.0,140.0,1.38,1.38,0.0328421052631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"925C,1H-1,138-140"
154,925.0,C,1,H,2,no,6.0,8.0,1.56,1.56,0.0368210526315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"925C,1H-2,6-8"
154,925.0,C,1,H,2,no,19.0,21.0,1.69,1.69,0.0396947368421053,5.0,65103.9761576976,261.954120049037,218.874248694743,301.301266602525,0.65753060496198,0.781034184788555,41622.6171337071,229.103056258529,190.34285095975,262.915668929585,0.650631859565703,0.788643087730644,67073.6752463979,114.71181402398,96.675327794604,134.456491247371,0.123652206892934,0.0530588522078196,198756.914926481,498.123411599134,427.167047123786,577.892494044792,0.872325646165583,0.857933871532356,147912.255470691,429.286408007221,356.323533628213,493.808313133406,0.827839350700032,0.84336058891669,2.96092916838675,1.64025972116996,1.61255590920976,1.73544290990746,0.232574582788933,-0.46862412091297,14.6164540670509,6.07057581652327,5.95674169949193,6.73104034936213,2.52196649401175,2.62202203560677,1259.0,47.34,58.66,11.32,15/06/2019,Fraass,49.01,1.67,0.1286,,131.0,690.0,8.0,0.840438489646772,"925C,1H-2,19-21"
